NodeNo.,X,Y,Z,stress
31550,1.8255E+00,-5.5281E-02,38.550,0.1367
31551,1.8505E+00,-5.4252E-02,38.525,0.133
31552,1.8509E+00,-1.0850E-01,38.525,0.2392
31553,1.8502E+00,-2.7136E-02,38.550,0.08391
31554,1.8759E+00,-1.0651E-01,38.550,0.2403
31555,1.9007E+00,-7.8353E-02,38.550,0.1838
31556,1.8755E+00,-5.3254E-02,38.550,0.1332
31557,1.9005E+00,-5.2216E-02,38.525,0.1294
31558,1.9009E+00,-1.0443E-01,38.525,0.2325
31559,1.9002E+00,-2.6118E-02,38.550,0.08185
31560,1.9259E+00,-1.0242E-01,38.550,0.2334
31561,1.9506E+00,-7.5273E-02,38.550,0.1785
31562,1.9254E+00,-5.1209E-02,38.550,0.1295
31563,1.9504E+00,-5.0163E-02,38.525,0.1257
31564,1.9509E+00,-1.0033E-01,38.525,0.2256
31565,1.9502E+00,-2.5091E-02,38.550,0.07966
31566,1.9758E+00,-9.8299E-02,38.550,0.2264
31567,2.0006E+00,-7.2170E-02,38.550,0.173
31568,1.9754E+00,-4.9148E-02,38.550,0.1257
31569,2.0004E+00,-4.8095E-02,38.525,0.1219
31570,2.0008E+00,-9.6190E-02,38.525,0.2186
31571,2.0002E+00,-2.4057E-02,38.550,0.07733
31572,2.0258E+00,-9.4149E-02,38.550,0.2192
31573,2.0506E+00,-6.9048E-02,38.550,0.1674
31574,2.0254E+00,-4.7073E-02,38.550,0.1217
31575,2.0504E+00,-4.6014E-02,38.525,0.118
31576,2.0507E+00,-9.2029E-02,38.525,0.2115
31577,2.0502E+00,-2.3016E-02,38.550,0.07486
31578,2.0757E+00,-8.9970E-02,38.550,0.2119
31579,2.1005E+00,-6.5899E-02,38.550,0.1615
31580,2.0754E+00,-4.4982E-02,38.550,0.1176
31581,2.1003E+00,-4.3916E-02,38.525,0.1139
31582,2.1007E+00,-8.7831E-02,38.525,0.2041
31583,2.1002E+00,-2.1966E-02,38.550,0.07225
31584,2.1257E+00,-8.5747E-02,38.550,0.2043
31585,2.1505E+00,-6.2711E-02,38.550,0.1556
31586,2.1253E+00,-4.2870E-02,38.550,0.1134
31587,2.1503E+00,-4.1791E-02,38.525,0.1097
31588,2.1506E+00,-8.3581E-02,38.525,0.1966
31589,2.1502E+00,-2.0904E-02,38.550,0.06953
31590,2.1756E+00,-8.1465E-02,38.550,0.1966
31591,2.2004E+00,-5.9473E-02,38.550,0.1494
31592,2.1753E+00,-4.0728E-02,38.550,0.109
31593,2.2003E+00,-3.9632E-02,38.525,0.1053
31594,2.2006E+00,-7.9265E-02,38.525,0.189
31595,2.2001E+00,-1.9824E-02,38.550,0.06672
31596,2.2255E+00,-7.7109E-02,38.550,0.1886
31597,2.2504E+00,-5.6175E-02,38.550,0.1431
31598,2.2253E+00,-3.8549E-02,38.550,0.1045
31599,2.2502E+00,-3.7434E-02,38.525,0.1009
31600,2.2505E+00,-7.4867E-02,38.525,0.1811
31601,2.2501E+00,-1.8725E-02,38.550,0.06387
31602,2.2754E+00,-7.2667E-02,38.550,0.1804
31603,2.3003E+00,-5.2807E-02,38.550,0.1366
31604,2.2752E+00,-3.6327E-02,38.550,0.09986
31605,2.3002E+00,-3.5188E-02,38.525,0.09639
31606,2.3004E+00,-7.0377E-02,38.525,0.173
31607,2.3001E+00,-1.7602E-02,38.550,0.06104
31608,2.3254E+00,-6.8127E-02,38.550,0.1719
31609,2.3502E+00,-4.9366E-02,38.550,0.1299
31610,2.3252E+00,-3.4058E-02,38.550,0.09515
31611,2.3502E+00,-3.2895E-02,38.525,0.09184
31612,2.3503E+00,-6.5789E-02,38.525,0.1645
31613,2.3501E+00,-1.6455E-02,38.550,0.05834
31614,2.3753E+00,-6.3497E-02,38.550,0.163
31615,2.4002E+00,-4.5867E-02,38.550,0.1228
31616,2.3751E+00,-3.1744E-02,38.550,0.09023
31617,2.4001E+00,-3.0562E-02,38.525,0.08692
31618,2.4002E+00,-6.1124E-02,38.525,0.1557
31619,2.4001E+00,-1.5289E-02,38.550,0.05596
31620,2.4252E+00,-5.8801E-02,38.550,0.1528
31621,2.4501E+00,-4.2327E-02,38.550,0.1154
31622,2.4251E+00,-2.9398E-02,38.550,0.08516
31623,2.4501E+00,-2.8203E-02,38.525,0.08302
31624,2.4501E+00,-5.6405E-02,38.525,0.1458
31625,2.4500E+00,-1.4109E-02,38.550,0.05401
31626,2.4751E+00,-5.4062E-02,38.550,0.1416
31627,2.5000E+00,-3.8762E-02,38.550,0.09945
31628,2.4750E+00,-2.7030E-02,38.550,0.07697
31629,2.5000E+00,-2.5827E-02,38.525,0.06764
31630,2.5000E+00,-5.1654E-02,38.525,0.129
31631,2.5000E+00,-1.2921E-02,38.550,0.03844
31632,3.2484E-01,-1.4719E-01,38.600,0.3331
31633,3.4980E-01,-1.1259E-01,38.600,0.2705
31634,3.2493E-01,-7.3508E-02,38.600,0.2443
31635,3.0000E-01,-1.0794E-01,38.600,0.2859
31636,3.0000E-01,-7.1943E-02,38.575,0.2508
31637,3.0000E-01,-1.4389E-01,38.575,0.3235
31638,3.4987E-01,-7.5040E-02,38.575,0.2309
31639,3.4973E-01,-1.5008E-01,38.575,0.3345
31640,3.4993E-01,-3.7529E-02,38.600,0.206
31641,3.0000E-01,-3.5979E-02,38.600,0.2179
31642,3.7466E-01,-1.5272E-01,38.600,0.3484
31643,3.9971E-01,-1.1628E-01,38.600,0.2769
31644,3.7483E-01,-7.6289E-02,38.600,0.2235
31645,3.9980E-01,-7.7503E-02,38.575,0.2141
31646,3.9961E-01,-1.5501E-01,38.575,0.3482
31647,3.9990E-01,-3.8760E-02,38.600,0.1841
31648,4.2458E-01,-1.5710E-01,38.600,0.3597
31649,4.4968E-01,-1.1920E-01,38.600,0.2828
31650,4.2480E-01,-7.8495E-02,38.600,0.2161
31651,4.4979E-01,-7.9451E-02,38.575,0.2105
