x, y, z, stress
0.127631232, -0.151593849, 0.120494969, 1.529
-0.042350769, -0.249101594, 0., 1.692
0.247502983, -0.128046274, 0.112300798, 1.419
0.128082916, -0.10824731, 0.138277337, 1.573
0.352765232, -0.168610275, 0.034818273, 1.227
0.419625998, -0.0817928836, 0.0694876984, 1.243
0.438319623, -0.0326178074, 0.0740993321, 1.224
0.0973557457, 0.0469522923, 0.154033989, 1.630
0.461710811, -0.0959467739, 0., 1.086
0.471634477, -0.0685862377, 0.0299240649, 1.105
0.448545486, -0.0994108096, 0.0308213606, 1.132
0.489092141, -0.0359615944, 0.023980666, 1.070
0.47027567, -0.0326358527, 0.0501700267, 1.156
-0.285514742, 0.205232397, 0., 1.793
0.495836079, -0.0321969539, 0., 1.009
0.49523294, 0., 0.022041332, 1.069
0.47191605, 0.0683470666, 0.0296927355, 1.103
0.489091694, 0.0359628759, 0.0239807926, 1.070
0.470570207, 0.0324182622, 0.0499445014, 1.154
0., 0.173124894, 0.115426928, 1.575
0.0811327547, 0.204123557, 0.0886531547, 1.441
0.0849253908, 0.242220417, 0.0288084615, 1.460
0.40522635, 0.0485336334, 0.0884321332, 1.278
0.0436037779, 0.105053782, 0.144515887, 1.652
0.0436817482, 0.0470242165, 0.156521156, 1.680
0.145708174, 0.0414500348, 0.150738925, 1.588
0.135488406, 0.0879072994, 0.143370047, 1.577
0.123744316, 0.134173661, 0.129066378, 1.547
0.172144696, 0.128637284, 0.125648811, 1.500
-0.470888197, 0.0310265366, 0.0499996655, 1.755
0.038428776, 0.249260515, 0., 1.601
0.0465651304, 0.244723141, 0.0291077103, 1.498
0.0464086831, 0.224464417, 0.0688625798, 1.390
0.361152232, 0.124822095, 0.0765642002, 1.281
-0.45340386, 0., 0.0674471185, 1.818
0.123144865, 0.238046557, 0.0289254077, 1.425
0.163728148, 0.233156413, 0.0242556054, 1.425
0.133400097, 0.22699973, 0.0516865887, 1.383
0.20140557, 0.225638375, 0.0243391078, 1.384
0.22947818, 0.21737878, 0.0291983541, 1.350
0.190987974, 0.231043071, 0., 1.464
0.266413033, 0.206486687, 0.0294627566, 1.312
0.245834976, 0.178659216, 0.0796078071, 1.346
0.115065373, 0.243289933, 0., 1.537
0.46170938, 0.095948495, 0., 1.085
0.448873848, 0.099195838, 0.0306148566, 1.129
0.325695455, 0.125649869, 0.0909447223, 1.329
0.351619095, 0.0960484892, 0.0957130492, 1.325
0.421243012, 0.0801915824, 0.0692499205, 1.240
0.438658834, 0.032413099, 0.0739303827, 1.223
0.453404307, 0., 0.0674468055, 1.194
0.414750665, -0.118375346, 0.0473891832, 1.190
0.404831469, 0.146723792, 0., 1.191
0.416166008, 0.117023945, 0.0474932529, 1.188
0.495835811, 0.032197997, 0., 1.009
0.289923191, 0.0336198956, 0.128568083, 1.440
0.126610771, 0.204047188, 0.0830945075, 1.390
0.210355163, 0.160737351, 0.102402367, 1.422
0.227346018, -0.04152577, 0.140003651, 1.505
-0.0423508584, 0.249101594, 0., 1.665
0.221986502, 0.0746655688, 0.135168165, 1.501
0.237270951, 0.0335957259, 0.139186323, 1.499
0.404832631, -0.146722987, 0., 1.195
0.265524834, 0.211835176, 0., 1.380
